,energy,data,data_err
496,0.037652,5.6976,0.074777
497,0.037623,5.6322,0.073965
498,0.037594,5.7164,0.074599
499,0.037566,5.7605,0.074684
500,0.037537,5.6554,0.07381
501,0.037508,5.7328,0.07475
502,0.037479,5.7877,0.075743
503,0.03745,5.6116,0.073258
504,0.037422,5.5989,0.073584
505,0.037393,5.6545,0.074493
506,0.037364,5.7114,0.075236
507,0.037336,5.671,0.075043
508,0.037307,5.6144,0.073656
509,0.037279,5.5735,0.07367
510,0.03725,5.6608,0.074632
511,0.037222,5.6651,0.074379
512,0.037193,5.7591,0.076021
513,0.037165,5.6843,0.074697
514,0.037136,5.7607,0.076417
515,0.037108,5.7706,0.076057
516,0.03708,5.6772,0.075211
517,0.037052,5.6972,0.07513
518,0.036995,5.638,0.043056
519,0.036911,5.6885,0.043896
520,0.036826,5.7081,0.043844
521,0.036743,5.7334,0.044267
522,0.036659,5.7879,0.044631
523,0.036576,5.7952,0.044916
524,0.036493,5.7238,0.044391
525,0.03641,5.7134,0.044332
526,0.036328,5.6725,0.044135
527,0.036245,5.7364,0.044537
528,0.036163,5.8069,0.045092
529,0.036082,5.6594,0.044406
530,0.036,5.7327,0.044759
531,0.035919,5.6997,0.044671
532,0.035839,5.7748,0.045253
533,0.035758,5.8164,0.045645
534,0.035678,5.7328,0.045402
535,0.035598,5.793,0.04585
536,0.035518,5.8258,0.045966
537,0.035465,5.7243,0.079481
538,0.035439,5.7282,0.079265
539,0.035412,5.7886,0.079927
540,0.035386,5.719,0.078923
541,0.035359,5.7959,0.079581
542,0.035333,5.9086,0.081451
543,0.035307,5.8753,0.081307
544,0.035281,5.8377,0.080472
545,0.035254,5.7565,0.079916
546,0.035228,5.86,0.080785
547,0.035202,5.8176,0.080253
548,0.035176,5.7819,0.080184
549,0.03515,5.571,0.077501
550,0.035123,5.6468,0.078167
551,0.035097,5.7701,0.079439
552,0.035071,5.6213,0.078294
553,0.035045,5.5712,0.078061
554,0.035019,5.6244,0.077919
555,0.034993,5.6419,0.078549
556,0.034968,5.6609,0.079401
557,0.034942,5.6012,0.07824
558,0.034916,5.6175,0.077874
559,0.03489,5.6212,0.078123
560,0.034864,5.6596,0.079373
561,0.034838,5.6078,0.07823
562,0.034813,5.7656,0.080552
563,0.034787,5.6309,0.078422
564,0.034761,5.5888,0.078232
565,0.034735,5.4232,0.07663
566,0.03471,5.6153,0.078418
567,0.034684,5.4701,0.076552
568,0.034659,5.5255,0.078079
569,0.034633,5.7038,0.079633
570,0.034608,5.5589,0.07766
571,0.034582,5.5392,0.07758
572,0.034557,5.5217,0.078427
573,0.034531,5.4525,0.076768
574,0.034506,5.6065,0.078751
575,0.034341,5.5914,0.022792
576,0.034041,5.6397,0.023204
577,0.033744,5.6933,0.023606
578,0.033451,5.7172,0.023903
579,0.033162,5.7147,0.024097
580,0.032877,5.7749,0.024211
581,0.032595,5.802,0.02436
582,0.032317,5.8837,0.024896
583,0.032042,5.8783,0.025093
584,0.031771,5.9328,0.02555
585,0.031504,6.0135,0.026054
586,0.03124,6.0176,0.026285
587,0.030979,6.0216,0.026541
588,0.030721,6.0426,0.026938
589,0.030466,6.0211,0.026965
590,0.030215,5.9543,0.026728
591,0.029967,5.9864,0.026979
592,0.029722,6.0813,0.027685
