 ,stack,counts,err
1671,1671,2998.000,54.754
1672,1672,2948.000,54.295
1673,1673,2867.000,53.544
1674,1674,2947.000,54.286
1675,1675,2944.000,54.259
1676,1676,2854.000,53.423
1677,1677,2879.000,53.656
1678,1678,2720.000,52.154
1679,1679,2906.000,53.907
1680,1680,2887.000,53.731
1681,1681,2835.000,53.245
1682,1682,2769.000,52.621
1683,1683,2772.000,52.650
1684,1684,2727.000,52.221
1685,1685,2854.000,53.423
1686,1686,2841.000,53.301
1687,1687,2866.000,53.535
1688,1688,2713.000,52.086
1689,1689,3021.000,54.964
1690,1690,2873.000,53.600
1691,1691,2776.000,52.688
1692,1692,2758.000,52.517
1693,1693,2751.000,52.450
1694,1694,2698.000,51.942
1695,1695,2716.000,52.115
1696,1696,2948.000,54.295
1697,1697,2755.000,52.488
1698,1698,2829.000,53.188
1699,1699,2830.000,53.198
1700,1700,2825.000,53.151
1701,1701,2750.000,52.440
1702,1702,2573.000,50.725
1703,1703,2718.000,52.134
1704,1704,2678.000,51.749
1705,1705,2738.000,52.326
1706,1706,2672.000,51.691
1707,1707,2645.000,51.430
1708,1708,2622.000,51.205
1709,1709,2637.000,51.352
1710,1710,2439.000,49.386
1711,1711,2580.000,50.794
1712,1712,2621.000,51.196
1713,1713,2637.000,51.352
1714,1714,2549.000,50.488
1715,1715,2609.000,51.078
1716,1716,2538.000,50.379
1717,1717,2636.000,51.342
1718,1718,2563.000,50.626
1719,1719,2678.000,51.749
1720,1720,2495.000,49.950
1721,1721,2624.000,51.225
1722,1722,2622.000,51.205
1723,1723,2576.000,50.754
1724,1724,2588.000,50.872
1725,1725,2432.000,49.315
1726,1726,2351.000,48.487
1727,1727,2515.000,50.150
1728,1728,2375.000,48.734
1729,1729,2417.000,49.163
1730,1730,2468.000,49.679
1731,1731,2377.000,48.754
1732,1732,2524.000,50.239
1733,1733,2604.000,51.029
1734,1734,2681.000,51.778
1735,1735,2467.000,49.669
1736,1736,2421.000,49.204
1737,1737,2565.000,50.646
1738,1738,2435.000,49.346
1739,1739,2507.000,50.070
1740,1740,2406.000,49.051
1741,1741,2381.000,48.795
1742,1742,2455.000,49.548
1743,1743,2367.000,48.652
1744,1744,2592.000,50.912
1745,1745,2451.000,49.508
1746,1746,2404.000,49.031
1747,1747,2296.000,47.917
1748,1748,2380.000,48.785
1749,1749,2459.000,49.588
1750,1750,2480.000,49.800
1751,1751,2283.000,47.781
1752,1752,2250.000,47.434
1753,1753,2203.000,46.936
1754,1754,2338.000,48.353
1755,1755,2254.000,47.476
1756,1756,2407.000,49.061
1757,1757,2354.000,48.518
1758,1758,2288.000,47.833
1759,1759,2349.000,48.466
1760,1760,2407.000,49.061
1761,1761,2260.000,47.539
1762,1762,2239.000,47.318
1763,1763,2296.000,47.917
1764,1764,2332.000,48.291
1765,1765,2264.000,47.582
1766,1766,2293.000,47.885
1767,1767,2210.000,47.011
1768,1768,2086.000,45.673
1769,1769,2218.000,47.096
1770,1770,2237.000,47.297
1771,1771,2170.000,46.583
1772,1772,2230.000,47.223
1773,1773,2161.000,46.487
1774,1774,2240.000,47.329
1775,1775,2256.000,47.497
1776,1776,2191.000,46.808
1777,1777,2191.000,46.808
1778,1778,2252.000,47.455
1779,1779,2118.000,46.022
1780,1780,2049.000,45.266
