 ,stack,counts,err
561,561,18933.000,137.597
562,562,18608.000,136.411
563,563,18689.000,136.708
564,564,18500.000,136.015
565,565,18326.000,135.374
566,566,17819.000,133.488
567,567,17481.000,132.216
568,568,17426.000,132.008
569,569,17181.000,131.076
570,570,16702.000,129.236
571,571,16965.000,130.250
572,572,16374.000,127.961
573,573,15942.000,126.262
574,574,15671.000,125.184
575,575,15478.000,124.411
576,576,15595.000,124.880
577,577,16003.000,126.503
578,578,16921.000,130.081
579,579,18260.000,135.130
580,580,18977.000,137.757
581,581,18917.000,137.539
582,582,19024.000,137.928
583,583,19288.000,138.881
584,584,19472.000,139.542
585,585,19777.000,140.631
586,586,19544.000,139.800
587,587,19337.000,139.058
588,588,19326.000,139.018
589,589,19416.000,139.341
590,590,19112.000,138.246
591,591,19048.000,138.014
592,592,18990.000,137.804
593,593,19042.000,137.993
594,594,18736.000,136.880
595,595,18523.000,136.099
596,596,18305.000,135.296
597,597,18556.000,136.220
598,598,18357.000,135.488
599,599,17991.000,134.131
600,600,17815.000,133.473
601,601,17560.000,132.514
602,602,17671.000,132.932
603,603,17456.000,132.121
604,604,16978.000,130.300
605,605,17111.000,130.809
606,606,16744.000,129.399
607,607,16697.000,129.217
608,608,16660.000,129.074
609,609,16401.000,128.066
610,610,16381.000,127.988
611,611,16142.000,127.051
612,612,16071.000,126.771
613,613,15726.000,125.403
614,614,15491.000,124.463
615,615,15230.000,123.410
616,616,15468.000,124.370
617,617,15640.000,125.060
618,618,15268.000,123.564
619,619,14707.000,121.272
620,620,14994.000,122.450
621,621,14747.000,121.437
622,622,14219.000,119.243
623,623,14455.000,120.229
624,624,14017.000,118.393
625,625,13878.000,117.805
626,626,14166.000,119.021
627,627,13465.000,116.039
628,628,13532.000,116.327
629,629,13364.000,115.603
630,630,13408.000,115.793
631,631,13317.000,115.399
632,632,13011.000,114.066
633,633,12870.000,113.446
634,634,12803.000,113.150
635,635,12607.000,112.281
636,636,12730.000,112.827
637,637,12530.000,111.937
638,638,12258.000,110.716
639,639,12101.000,110.005
640,640,12200.000,110.454
641,641,11942.000,109.279
642,642,11773.000,108.503
643,643,11721.000,108.264
644,644,11512.000,107.294
645,645,11530.000,107.378
646,646,11071.000,105.219
647,647,11157.000,105.627
648,648,10736.000,103.615
649,649,11021.000,104.981
650,650,10891.000,104.360
651,651,11255.000,106.090
652,652,11083.000,105.276
653,653,11133.000,105.513
654,654,11279.000,106.203
655,655,11246.000,106.047
656,656,11465.000,107.075
657,657,10944.000,104.614
658,658,11253.000,106.080
659,659,10966.000,104.719
660,660,11102.000,105.366
661,661,10606.000,102.985
662,662,10734.000,103.605
663,663,10594.000,102.927
664,664,10135.000,100.673
665,665,10449.000,102.220
666,666,10355.000,101.760
667,667,10185.000,100.921
668,668,10166.000,100.827
669,669,9757.000,98.778
670,670,9756.000,98.772
671,671,9769.000,98.838
672,672,9841.000,99.202
673,673,9867.000,99.333
674,674,9473.000,97.329
675,675,9434.000,97.129
676,676,9482.000,97.376
677,677,9326.000,96.571
678,678,9525.000,97.596
679,679,9770.000,98.843
680,680,9479.000,97.360
681,681,9463.000,97.278
682,682,9473.000,97.329
683,683,9273.000,96.296
684,684,9252.000,96.187
685,685,9073.000,95.252
686,686,9268.000,96.270
687,687,9083.000,95.305
688,688,9062.000,95.195
689,689,9362.000,96.757
690,690,8894.000,94.308
691,691,8822.000,93.926
692,692,8686.000,93.199
693,693,8642.000,92.962
694,694,8562.000,92.531
695,695,8479.000,92.081
696,696,8482.000,92.098
697,697,8442.000,91.880
698,698,8083.000,89.906
699,699,8221.000,90.670
700,700,8033.000,89.627
701,701,8156.000,90.311
702,702,8258.000,90.874
703,703,7757.000,88.074
704,704,7584.000,87.086
705,705,7545.000,86.862
706,706,7730.000,87.920
707,707,7655.000,87.493
708,708,7518.000,86.706
709,709,7147.000,84.540
710,710,7312.000,85.510
711,711,7145.000,84.528
712,712,6800.000,82.462
713,713,6874.000,82.910
714,714,6763.000,82.237
715,715,6479.000,80.492
716,716,6609.000,81.296
717,717,6272.000,79.196
718,718,6419.000,80.119
719,719,6309.000,79.429
720,720,6262.000,79.133
721,721,6427.000,80.169
722,722,5993.000,77.414
723,723,5955.000,77.169
724,724,5849.000,76.479
725,725,5983.000,77.350
726,726,5585.000,74.733
727,727,5926.000,76.981
728,728,5601.000,74.840
729,729,5538.000,74.418
730,730,5637.000,75.080
731,731,5341.000,73.082
732,732,5286.000,72.705
733,733,5433.000,73.709
734,734,5384.000,73.376
735,735,5126.000,71.596
736,736,5147.000,71.743
737,737,4949.000,70.349
738,738,4864.000,69.742
739,739,4917.000,70.121
740,740,4724.000,68.731
741,741,4640.000,68.118
742,742,4692.000,68.498
743,743,4554.000,67.483
744,744,4702.000,68.571
745,745,4541.000,67.387
746,746,4587.000,67.727
747,747,4492.000,67.022
748,748,4425.000,66.521
749,749,4496.000,67.052
750,750,4308.000,65.635
751,751,4300.000,65.574
752,752,4495.000,67.045
753,753,4418.000,66.468
754,754,4311.000,65.658
755,755,4117.000,64.164
756,756,4228.000,65.023
757,757,4138.000,64.327
758,758,4228.000,65.023
759,759,4396.000,66.302
760,760,4233.000,65.062
761,761,4352.000,65.970
762,762,4001.000,63.253
763,763,4222.000,64.977
764,764,3936.000,62.738
765,765,4087.000,63.930
766,766,3842.000,61.984
767,767,3905.000,62.490
768,768,3833.000,61.911
769,769,3750.000,61.237
770,770,3855.000,62.089
771,771,3891.000,62.378
772,772,3637.000,60.308
773,773,3817.000,61.782
774,774,3758.000,61.303
775,775,3598.000,59.983
776,776,3772.000,61.417
777,777,3431.000,58.575
778,778,3593.000,59.942
779,779,3556.000,59.632
780,780,3537.000,59.473
